Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
62960,Site in Chikkabalapura,"Chikkaballapur, Karnataka",Union Bank Of India,"₹1,25,30,000",14/07/2025
62976,Site in Doddaballapura,"Doddaballapura, Bangalore Rural, Karnataka",Aavas Financiers,"₹9,96,960",14/07/2025
62982,"Plot in Shihor, Ahmedabad","Ahmedabad, Gujarat",IDFC FIRST Bank,"₹5,38,400",14/07/2025
63125,Commercial Property in Baretto Lane,"Baretto Lane, Kolkata, West Bengal",Punjab National Bank,"₹10,63,000",14/07/2025
63128,Residential Flat in South 24 Paraganas,"South 24 Parganas, West Bengal",Punjab National Bank,"₹10,87,000",14/07/2025
63129,Residential Flat in Haridevpur,"Haridevpur, Kolkata, West Bengal",Punjab National Bank,"₹16,94,000",14/07/2025
63131,Residential Flat in Thakurpukur,"Thakurpukur, Kolkata, West Bengal",Punjab National Bank,"₹11,66,000",14/07/2025
63133,Land and Building in South 24 Paraganas,"South 24 Parganas, West Bengal",Punjab National Bank,"₹13,89,000",14/07/2025
60964,"Flat in Kelambakkam Village, Kancheepuram","Kanchipuram, Tamil Nadu",Repco Home Finance,"₹33,36,000",14/07/2025
60965,"Flat in kelambakkam, Kanchipuram","Kanchipuram, Tamil Nadu",Repco Home Finance,"₹39,25,000",14/07/2025
60967,"Flat in Pozhichalur Village, Kancheepuram","Kanchipuram, Tamil Nadu",Repco Home Finance,"₹28,05,000",14/07/2025
60968,"Flat in Pozhichalur, Kancheepuram","Kanchipuram, Tamil Nadu",Repco Home Finance,"₹32,76,000",14/07/2025
